Season,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
21,212.453166799473,0.0248492131892838,10.7495762730204,2124520.76058941,1.08910720280762e-09,5.36171945232697e-07,0.0832514342875872,6.30106320258439e-10,2.44554533272456e-07,0.0497276202932425,0.999997458433864,4.29995243791435e-08,123.629191895476,260.67518640985,17680799.8780694,5.41718803159665e-06,1.27864087654814e-05,0.697671323945267,3.13549440570769e-06,6.03499660693063e-06,0.413991453239409,0.99998563632478,4.3144471075385e-08,0.0274599289181589,12.1562544931306,1591466.21334386,1.21341307039783e-09,6.15464328116016e-07,0.0621537898264519,6.91747329660171e-10,2.72128846020032e-07,0.0372443633163483,0.999996163575169,4.2929791097476e-08
22,212.608744319724,0.0168438333690233,7.20192455354581,2126080.09109056,7.3242291198764e-10,3.5511139456446e-07,0.0835502101168819,4.29683309153604e-10,1.65724698214647e-07,0.0497875652071593,0.999998298373671,4.30664386052705e-08,84.1568715113387,178.11370365697,17902867.1377524,3.65855137323241e-06,8.67373816843567e-06,0.707653321886961,2.14720486489382e-06,4.14831351975856e-06,0.419646610104922,0.999990324947069,4.32039374997298e-08,0.0186369098919628,8.06218220476533,1593390.57044206,8.16830402105712e-10,4.02128958924523e-07,0.0624385757156904,4.7257974019383e-10,1.83415899954342e-07,0.0372957152199319,0.999997458433864,4.29995243791435e-08
23,212.703796902342,0.0114127256780807,4.85285056147304,2127032.97112431,4.92522439501928e-10,2.37059980164622e-07,0.0837907780654278,2.92721494378645e-10,1.12627240441163e-07,0.0498446958994113,0.999998853881211,4.31305496020171e-08,57.1703198316381,121.384726902554,18039784.9662967,2.46666737413793e-06,5.87113439945148e-06,0.71416006466822,1.46657674313982e-06,2.84232856874122e-06,0.423344994027667,0.999993466578577,4.32613654697283e-08,0.0126328750267675,5.40144341515936,1594560.06831792,5.4931718399073e-10,2.66333545923345e-07,0.0626626575876614,3.22262481865203e-10,1.24293523660986e-07,0.0373406739053695,0.999998298373671,4.30664386052704e-08
24,212.762057526616,0.0077325516313794,3.28062157164055,2127617.15302192,3.3131788157585e-10,1.58990094637538e-07,0.0839882254343194,1.99299446631371e-10,7.66530289944023e-08,0.0499016484784162,0.999999225405378,4.31918730138784e-08,38.7973862702564,82.6015394807266,18124172.9868115,1.66200757741223e-06,3.96994526431718e-06,0.718474544659076,1.00010956890812e-06,1.94350991681858e-06,0.425837322456335,0.999995580619313,4.33164617670125e-08,0.00855954425856056,3.63963792110478,1595274.72834323,3.69391829626446e-10,1.77794985123467e-07,0.0628430835490709,2.19541120783984e-10,8.44704303308726e-08,0.0373835219245585,0.999998853881211,4.31305496020171e-08
25,212.797836552568,0.00523976202748767,2.22188422788941,2127976.00428924,2.2299440226252e-10,1.06930560717034e-07,0.0841528346152135,1.35639964225678e-10,5.22037320853961e-08,0.0499594500800156,0.999999475473071,4.32504271635469e-08,26.3161598631225,56.1617723901076,18176173.7158798,1.11974376422083e-06,2.68323907022296e-06,0.721397463210617,6.81324248336844e-07,1.32708245382503e-06,0.427584804762496,0.999997007246936,4.33690738087055e-08,0.00579941372353455,2.46046617873041,1595712.86476644,2.48488411181888e-10,1.19242570978153e-07,0.0629911690757396,1.49474584973528e-10,5.74897717458017e-08,0.0374262363588121,0.999999225405378,4.31918730138784e-08
26,212.819835226822,0.00355125528214666,1.50644277669976,2128196.70796399,1.50175239632167e-10,7.20448137495844e-08,0.0842918043302957,9.22873759943826e-11,3.55605183933625e-08,0.0500182909666119,0.999999644406877,4.33062382478737e-08,17.8467699580966,38.1659147368257,18208213.0389246,7.54562093180923e-07,1.81339153383531e-06,0.723429359566928,4.63841012135189e-07,9.05274754767269e-07,0.428870125753221,0.999997971815582,4.34191413997899e-08,0.00392982152061575,1.66641317091706,1595982.00321693,1.6724580169689e-10,8.01979205377756e-08,0.0631146259614101,1.01729973169258e-10,3.91527990640471e-08,0.0374695875600117,0.999999475473072,4.32504271635469e-08
27,212.833370940252,0.00240735425253759,1.02201295114618,2128332.55049388,1.01195104253135e-10,4.85975926014112e-08,0.0844103162164335,6.27759386710265e-11,2.4222684075897e-08,0.0500779459371343,0.999999758771914,4.33593436370048e-08,12.1027219668537,25.9287353118181,18227952.0458315,5.0865871144408e-07,1.22563136064649e-06,0.724884042680351,3.15631096270784e-07,6.17080214105126e-07,0.429866159494451,0.999998624802314,4.34666645712573e-08,0.00266344146161,1.12983208252482,1596147.53097299,1.12631429724125e-10,5.40336103121883e-08,0.0632188532477218,6.9215531995787e-11,2.66703887950219e-08,0.0375137182249589,0.999999644406877,4.33062382478737e-08
28,212.841703181877,0.00163223679493771,0.693619564118869,2128416.2019167,6.82288885426299e-11,3.28085602609664e-08,0.0845122046382859,4.26927578968026e-11,1.64970557377163e-08,0.0501380073607122,0.999999836290521,4.3409792947882e-08,8.20784065478479,17.6120380104578,18240112.488983,3.43038439067889e-07,8.28525463726415e-07,0.725959106556398,2.14703126924865e-07,4.20388776651924e-07,0.430678381431108,0.999999067229674,4.35116824125317e-08,0.00180551568940319,0.766509713359638,1596249.41287041,7.58963281898516e-11,3.64481944510584e-08,0.0633077371623251,4.70819540032699e-11,1.81670130569228e-08,0.0375584594528508,0.999999758771914,4.33593436370048e-08
29,212.846833743884,0.0011068913195983,0.470849886709419,2128467.73068363,4.60268256637905e-11,2.21630377075265e-08,0.0846003826117562,2.90291606410743e-11,1.12328875575331e-08,0.0501980131089967,0.999999888872272,4.34576475272476e-08,5.56691703086378,11.9616534475133,18247603.913869,2.31448360433073e-07,5.60209228029146e-07,0.726779728269437,1.4600845387408e-07,2.86256918455186e-07,0.431370991476934,0.999999367164435,4.35542591548369e-08,0.00122417759620328,0.520214673089152,1596312.15143753,5.11716664069725e-11,2.46064201957248e-08,0.0633841534787144,3.2019568422602e-11,1.23727918032872e-08,0.0376035055205341,0.999999836290521,4.3409792947882e-08
30,212.849993440355,0.000750754346490884,0.319669689893857,2128499.47904845,3.10650753296888e-11,1.49790598279795e-08,0.0846771165523038,1.97351718802418e-11,7.64653318037426e-09,0.0502575145491771,0.999999924554562,4.35029790229273e-08,3.77613671160638,8.12352462059651,18252218.9591897,1.5622837958242e-07,3.78880107199506e-07,0.727425865727011,9.92705205176342e-08,1.94845167559471e-07,0.43198297725255,0.99999957057857,4.3594474965578e-08,0.000830168489698727,0.353137415032064,1596350.79801273,3.45201192478428e-11,1.66222782806449e-08,0.0634502869588171,2.17718704808057e-11,8.42466566814982e-09,0.0376485098317475,0.999999888872272,4.34576475272476e-08
