Cost,Het,R,WW,RW,RR
0.095,0,1.25263152118923e-07,0.999999854736851,3.99999936851317e-08,1.05263155276358e-07
0.096,0,1.24166662529674e-07,0.99999985583334,3.99999943255894e-08,1.04166665366879e-07
0.097,0,1.23092780418086e-07,0.999999856907222,3.99999942191447e-08,1.03092783308513e-07
0.098,0,1.22040814798475e-07,0.999999857959188,3.99999952055928e-08,1.02040817195679e-07
0.099,0,1.21010099533106e-07,0.999999858989903,3.99999949973017e-08,1.01010102034456e-07
0.1,0,1.19999997203105e-07,0.999999860000006,3.99999943924035e-08,1.00000000006903e-07
0.101,0,1.19009894603008e-07,0.999999860990109,3.99999936345137e-08,9.90098977857508e-08
0.102,0,1.18039211018925e-07,0.999999861960792,3.9999994170135e-08,9.80392139338573e-08
0.103,0,1.17087373374993e-07,0.99999986291263,3.99999941098099e-08,9.70873763200878e-08
0.104,0,1.16153839000512e-07,0.999999863846164,3.9999993451305e-08,9.61538422748593e-08
0.105,0,1.15238090099027e-07,0.999999864761913,3.99999941831793e-08,9.52380930074377e-08
0.106,0,1.14339618892386e-07,0.999999865660384,3.99999945672625e-08,9.43396216087549e-08
0.107,0,1.13457941451144e-07,0.999999866542061,3.99999953486612e-08,9.34579437768133e-08
0.108,0,1.12592588224261e-07,0.999999867407415,3.999999458778e-08,9.25925909303714e-08
0.109,0,1.11743120077186e-07,0.999999868256882,3.99999964102314e-08,9.17431218720702e-08
0.11,0,1.10909087005365e-07,0.999999869090916,3.99999947031658e-08,9.0909089653782e-08
0.111,0,1.10090087332931e-07,0.999999869909915,3.99999952827809e-08,9.00900896915407e-08
0.112,0,1.0928571254938e-07,0.99999987071429,3.99999956630302e-08,8.92857147178652e-08
0.113,0,1.084955716848e-07,0.999999871504431,3.99999945011285e-08,8.84955744342357e-08
0.114,0,1.07719295043431e-07,0.999999872280708,3.99999949291433e-08,8.77192975788588e-08
0.115,0,1.06956522311076e-07,0.999999873043479,3.9999996401715e-08,8.69565241102187e-08
0.116,0,1.06206894974621e-07,0.999999873793107,3.99999956863291e-08,8.62068971314565e-08
0.117,0,1.05470085951614e-07,0.999999874529916,3.99999966108154e-08,8.54700876462059e-08
0.118,0,1.04745761785756e-07,0.99999987525424,3.99999958937197e-08,8.47457638388966e-08
0.119,0,1.04033611965404e-07,0.99999987596639,3.99999957736971e-08,8.40336140785556e-08
0.12,0,1.0333333296602e-07,0.999999876666669,3.99999960986505e-08,8.3333334916695e-08
0.121,0,1.02644627014068e-07,0.999999877355375,3.99999961271758e-08,8.26446289504797e-08
0.122,0,1.01967212662694e-07,0.999999878032789,3.9999996204137e-08,8.19672145606256e-08
0.123,0,1.01300811547036e-07,0.99999987869919,3.99999958821437e-08,8.13008136059639e-08
0.124,0,1.00645157622608e-07,0.999999879354845,3.99999949144541e-08,8.06451601653805e-08
0.125,0,9.99999992362229e-08,0.999999880000003,3.99999963313739e-08,8.00000010705359e-08
0.126,0,9.93650757672962e-08,0.999999880634927,3.99999950638886e-08,7.93650782353519e-08
0.127,0,9.87401555137246e-08,0.999999881259847,3.99999958856202e-08,7.87401575709145e-08
0.128,0,9.81249977193484e-08,0.999999881875005,3.99999955600111e-08,7.81249999393429e-08
0.129,0,9.75193769958149e-08,0.999999882480625,3.99999954346615e-08,7.75193792784841e-08
0.13,0,9.69230768142318e-08,0.999999883076925,3.99999965032632e-08,7.69230785626002e-08
0.131,0,9.63358756735052e-08,0.999999883664126,3.99999958800486e-08,7.63358777334809e-08
0.132,0,9.57575744609922e-08,0.999999884242427,3.99999961022303e-08,7.57575764098771e-08
0.133,0,9.5187968393229e-08,0.999999884812034,3.99999958776658e-08,7.51879704543961e-08
0.134,0,9.46268644326114e-08,0.999999885373137,3.99999960989834e-08,7.46268663831197e-08
0.135,0,9.40740732913172e-08,0.999999885925929,3.99999963195722e-08,7.4074075131531e-08
0.136,0,9.35294104858299e-08,0.999999886470591,3.99999962418688e-08,7.35294123648955e-08
0.137,0,9.29926996814947e-08,0.999999887007302,3.9999996312456e-08,7.29927015252667e-08
0.138,0,9.24637667271623e-08,0.999999887536235,3.99999960845534e-08,7.24637686848855e-08
0.139,0,9.1942443012406e-08,0.999999888057559,3.99999956089668e-08,7.19424452079226e-08
0.14,0,9.142856828699e-08,0.999999888571434,3.99999956298178e-08,7.14285704720811e-08
0.141,0,9.09219845734283e-08,0.999999889078017,3.99999961465343e-08,7.09219865001612e-08
0.142,0,9.04225334934963e-08,0.999999889577468,3.99999961168479e-08,7.04225354350723e-08
0.143,0,8.99300697822477e-08,0.999999890069932,3.99999968822315e-08,6.9930071341132e-08
0.144,0,8.94444413083864e-08,0.999999890555561,3.99999956085642e-08,6.94444435041043e-08
0.145,0,8.89655147415757e-08,0.999999891034487,3.99999958262069e-08,6.89655168284723e-08
0.146,0,8.8493148065409e-08,0.999999891506854,3.99999957463703e-08,6.84931501922238e-08
0.147,0,8.80272076110988e-08,0.999999891972795,3.99999955166641e-08,6.80272098527668e-08
0.148,0,8.75675651285812e-08,0.999999892432437,3.99999958319169e-08,6.75675672126228e-08
0.149,0,8.711409253063e-08,0.999999892885909,3.99999963969326e-08,6.71140943321637e-08
0.15,0,8.66666652329333e-08,0.999999893333337,3.99999963659028e-08,6.66666670499819e-08
0.151,0,8.62251639914343e-08,0.999999893774838,3.99999963337326e-08,6.6225165824568e-08
0.152,0,8.57894722659409e-08,0.999999894210529,3.99999964510001e-08,6.57894740404409e-08
0.153,0,8.53594748246589e-08,0.999999894640527,3.99999962194403e-08,6.53594767149387e-08
0.154,0,8.49350623159263e-08,0.99999989506494,3.9999995938684e-08,6.49350643465843e-08
0.155,0,8.45161276510729e-08,0.999999895483874,3.99999965024514e-08,6.45161293998472e-08
0.156,0,8.410256149419e-08,0.999999895897441,3.99999957220788e-08,6.41025636331506e-08
0.157,0,8.36942654555485e-08,0.999999896305737,3.99999960369412e-08,6.36942674370779e-08
0.158,0,8.32911375102899e-08,0.999999896708864,3.99999963023177e-08,6.32911393591311e-08
0.159,0,8.28930802064784e-08,0.999999897106922,3.99999964666531e-08,6.28930819731519e-08
0.16,0,8.24999986530492e-08,0.999999897500003,3.99999964354877e-08,6.25000004353054e-08
0.161,0,8.21117992463166e-08,0.999999897888203,3.99999961998316e-08,6.21118011464008e-08
0.162,0,8.1728391889134e-08,0.99999989827161,3.99999956179738e-08,6.17283940801471e-08
0.163,0,8.13496922057757e-08,0.999999898650309,3.9999996776969e-08,6.13496938172912e-08
0.164,0,8.09756078203923e-08,0.999999899024394,3.99999962954831e-08,6.09756096726508e-08
0.165,0,8.06060586975279e-08,0.999999899393943,3.99999965091379e-08,6.06060604429589e-08
0.166,0,8.02409619090273e-08,0.99999989975904,3.99999965225173e-08,6.02409636477687e-08
0.167,0,7.98802367469138e-08,0.999999900119765,3.99999958912252e-08,5.98802388013012e-08
0.168,0,7.95238079196704e-08,0.999999900476194,3.99999965014059e-08,5.95238096689675e-08
0.169,0,7.9171595788093e-08,0.999999900828406,3.99999964663064e-08,5.91715975549398e-08
0.17,0,7.88235281941077e-08,0.999999901176473,3.99999965299819e-08,5.88235299291168e-08
0.171,0,7.84795308051136e-08,0.999999901520471,3.99999967443148e-08,5.84795324329562e-08
0.172,0,7.81395335662818e-08,0.999999901860468,3.99999967565033e-08,5.81395351880301e-08
0.173,0,7.7803466485818e-08,0.999999902196535,3.99999966204335e-08,5.78034681756013e-08
0.174,0,7.7471262686682e-08,0.999999902528739,3.99999964358824e-08,5.74712644687408e-08
0.175,0,7.71428545180742e-08,0.999999902857147,3.9999996100032e-08,5.71428564680582e-08
0.176,0,7.68181816301463e-08,0.99999990318182,3.99999973068176e-08,5.68181829767375e-08
0.177,0,7.64971722906936e-08,0.99999990350283,3.99999960262697e-08,5.64971742775588e-08
0.178,0,7.61797736379905e-08,0.999999903820228,3.99999967333656e-08,5.61797752713077e-08
0.179,0,7.58659208485916e-08,0.999999904134081,3.9999996946301e-08,5.58659223754411e-08
0.18,0,7.55555545921515e-08,0.999999904444447,3.99999970084818e-08,5.55555560879107e-08
0.181,0,7.52486171534458e-08,0.999999904751384,3.99999967223764e-08,5.52486187922576e-08
0.182,0,7.49450537466347e-08,0.999999905054948,3.99999968343019e-08,5.49450553294837e-08
0.183,0,7.46448077984221e-08,0.999999905355194,3.99999971439816e-08,5.46448092264313e-08
0.184,0,7.43478241779076e-08,0.999999905652178,3.99999965601323e-08,5.43478258978415e-08
0.185,0,7.40540520354264e-08,0.99999990594595,3.99999964211508e-08,5.4054053824851e-08
0.186,0,7.37634395934235e-08,0.999999906236562,3.99999968815817e-08,5.37634411526326e-08
0.187,0,7.34759338187263e-08,0.999999906524068,3.99999964938634e-08,5.34759355717946e-08
0.188,0,7.31914886034863e-08,0.999999906808513,3.9999997003693e-08,5.31914901016398e-08
0.189,0,7.2910051545957e-08,0.99999990708995,3.99999969155201e-08,5.2910053088197e-08
0.19,0,7.26315774861795e-08,0.999999907368424,3.99999969263291e-08,5.26315790230149e-08
0.191,0,7.23560195108735e-08,0.999999907643982,3.99999968373165e-08,5.23560210922152e-08
0.192,0,7.20833313566382e-08,0.99999990791667,3.99999964010628e-08,5.20833331561068e-08
0.193,0,7.18134692587064e-08,0.999999908186533,3.99999962625036e-08,5.18134711274547e-08
0.194,0,7.15463892857912e-08,0.999999908453613,3.99999961746465e-08,5.15463911984679e-08
0.195,0,7.12820490651773e-08,0.999999908717953,3.99999964334489e-08,5.12820508484529e-08
0.196,0,7.10204066898625e-08,0.999999908979595,3.99999969413837e-08,5.10204082191706e-08
0.197,0,7.07614194786256e-08,0.999999909238582,3.99999965043199e-08,5.07614212264657e-08
0.198,0,7.05050475162082e-08,0.999999909494955,3.99999959170454e-08,5.05050495576855e-08
0.199,0,7.0251254860049e-08,0.999999909748747,3.99999970220596e-08,5.02512563490192e-08
0.2,0,6.99999974887951e-08,0.999999910000004,3.99999962360901e-08,4.99999993707501e-08
0.201,0,6.97512403991663e-08,0.999999910248762,3.99999957481251e-08,4.97512425251038e-08
0.202,0,6.95049470066294e-08,0.999999910495055,3.9999995559096e-08,4.95049492270814e-08
0.203,0,6.92610826053505e-08,0.999999910738919,3.99999971112333e-08,4.92610840497339e-08
0.204,0,6.90196064177064e-08,0.999999910980395,3.99999968728466e-08,4.90196079812831e-08
0.205,0,6.87804853207578e-08,0.999999911219516,3.99999963337053e-08,4.87804871539052e-08
0.206,0,6.85436883815034e-08,0.999999911456313,3.99999973875856e-08,4.85436896877106e-08
0.207,0,6.83091763940148e-08,0.999999911690825,3.99999965516861e-08,4.83091781181718e-08
0.208,0,6.80769214831511e-08,0.99999991192308,3.99999967107655e-08,4.80769231277684e-08
0.209,0,6.78468897610877e-08,0.999999912153111,3.99999975161182e-08,4.78468910030286e-08
0.21,0,6.76190457330238e-08,0.999999912380956,3.999999643105e-08,4.76190475174988e-08
0.211,0,6.73933616887468e-08,0.99999991260664,3.99999959424418e-08,4.73933637175258e-08
0.212,0,6.71698090176416e-08,0.999999912830193,3.99999964986633e-08,4.71698107683099e-08
0.213,0,6.69483541987557e-08,0.999999913051648,3.99999963074331e-08,4.69483560450391e-08
0.214,0,6.67289711348351e-08,0.99999991327103,3.99999971623117e-08,4.67289725536793e-08
0.215,0,6.65116254735379e-08,0.999999913488376,3.99999965245182e-08,4.65116272112788e-08
0.216,0,6.629629403722e-08,0.999999913703708,3.99999965327357e-08,4.62962957708522e-08
0.217,0,6.60829466531772e-08,0.999999913917055,3.99999963430798e-08,4.60829484816373e-08
0.218,0,6.58715569817265e-08,0.999999914128445,3.99999962018874e-08,4.58715588807829e-08
0.219,0,6.5662099137345e-08,0.999999914337902,3.99999971543223e-08,4.56621005601839e-08
0.22,0,6.54545456327716e-08,0.999999914545455,3.99999978606185e-08,4.54545467024624e-08
0.221,0,6.52488680833095e-08,0.999999914751133,3.99999972716838e-08,4.52488694474677e-08
0.222,0,6.50450438358418e-08,0.999999914954958,3.99999971308341e-08,4.50450452704248e-08
0.223,0,6.48430478873112e-08,0.999999915156954,3.99999968894024e-08,4.48430494426099e-08
