Cost,Het,R,WW,RW,RR
0.098,0,1.22040811381323e-07,0.999999857959192,3.99999931727284e-08,1.02040814794959e-07
0.099,0,1.21010096492906e-07,0.999999858989907,3.99999934934762e-08,1.01010099746168e-07
0.1,0,1.200000115693e-07,0.999999859999989,3.99999992004041e-08,1.00000011969098e-07
0.101,0,1.19009900554805e-07,0.999999860990102,3.99999954247178e-08,9.90099028424465e-08
0.102,0,1.18039231968656e-07,0.999999861960768,4.00000010179983e-08,9.80392314596569e-08
0.103,0,1.17087376610743e-07,0.999999862912626,3.99999944300143e-08,9.70873793957356e-08
0.104,0,1.16153863429701e-07,0.999999863846136,4.00000010900573e-08,9.61538628846728e-08
0.105,0,1.15238092162153e-07,0.99999986476191,3.99999945677098e-08,9.5238094878298e-08
0.106,0,1.14339619759244e-07,0.999999865660383,3.99999945303576e-08,9.43396224940655e-08
0.107,0,1.13457925895026e-07,0.99999986654208,3.99999891040171e-08,9.34579313430179e-08
0.108,0,1.12592603256442e-07,0.999999867407397,3.99999993255753e-08,9.25926035936542e-08
0.109,0,1.11743129326674e-07,0.999999868256871,3.99999989592662e-08,9.17431298470412e-08
0.11,0,1.10909091693036e-07,0.99999986909091,3.99999957976234e-08,9.09090937942247e-08
0.111,0,1.10090096757214e-07,0.999999869909904,3.99999978045366e-08,9.00900978549461e-08
0.112,0,1.09285705924587e-07,0.999999870714298,3.99999930994712e-08,8.9285709374851e-08
0.113,0,1.08495577074575e-07,0.999999871504425,3.99999958949577e-08,8.84955791270959e-08
0.114,0,1.07719294109942e-07,0.999999872280709,3.99999941382389e-08,8.77192970408229e-08
0.115,0,1.06956520827787e-07,0.999999873043482,3.99999952673521e-08,8.69565231941113e-08
0.116,0,1.06206902453907e-07,0.999999873793099,3.99999975264114e-08,8.62069036907011e-08
0.117,0,1.05470093303642e-07,0.999999874529907,3.99999989901319e-08,8.54700938085762e-08
0.118,0,1.04745754157895e-07,0.99999987525425,3.99999923089335e-08,8.47457580034278e-08
0.119,0,1.04033617726664e-07,0.999999875966384,3.99999973057158e-08,8.40336190738057e-08
0.12,0,1.0333332383449e-07,0.99999987666668,3.99999921301272e-08,8.33333277694265e-08
0.121,0,1.02644622218816e-07,0.999999877355381,3.99999935686704e-08,8.26446254344809e-08
0.122,0,1.01967206604878e-07,0.999999878032797,3.99999933651641e-08,8.19672099222959e-08
0.123,0,1.01300795885552e-07,0.999999878699209,3.99999892097145e-08,8.13008012806945e-08
0.124,0,1.00645156527295e-07,0.999999879354846,3.99999941242277e-08,8.06451594651812e-08
